국립공원별,구분1,구분2,표본수,인지,비인지,계(%)
경주,직업별,서비스직 / 생산 및 판매직,249,203,46,100
경주,직업별,농업관련직,35,30,5,100
경주,직업별,주부,167,121,46,100
경주,직업별,기타,193,163,30,100
경주,학력별,초등학교 졸업,28,22,6,100
경주,학력별,중학교 졸업,103,84,19,100
경주,학력별,고등학교 졸업,410,330,80,100
경주,학력별,대학교 재학 중,71,60,11,100
경주,학력별,대학교 졸업,332,277,55,100
경주,학력별,대학원 이상,56,42,14,100
경주,소득별,100만원 미만,174,142,32,100
경주,소득별,100만원 이상 ~ 200만원 미만,281,230,51,100
경주,소득별,200만원 이상 ~ 300만원 미만,265,237,28,100
경주,소득별,300만원 이상 ~ 400만원 미만,189,140,49,100
경주,소득별,400만원 이상,91,66,25,100
계룡산,성별,남성,489,350,139,100
계룡산,성별,여성,511,355,156,100
계룡산,연령별,20대,179,107,72,100
계룡산,연령별,30대,212,125,87,100
계룡산,연령별,40대,223,153,70,100
계룡산,연령별,50대,179,150,29,100
계룡산,연령별,60대 이상,207,170,37,100
계룡산,지역별,서울,209,145,64,100
계룡산,지역별,부산,74,51,23,100
계룡산,지역별,대구,52,30,22,100
계룡산,지역별,인천,58,29,29,100
계룡산,지역별,광주,27,17,10,100
계룡산,지역별,대전,31,24,7,100
계룡산,지역별,울산,21,15,6,100
계룡산,지역별,강원,30,15,15,100
계룡산,지역별,경기,227,178,49,100
계룡산,지역별,제주,11,4,7,100
계룡산,지역별,충북,30,27,3,100
계룡산,지역별,충남,40,35,5,100
계룡산,지역별,전북,35,26,9,100
계룡산,지역별,전남,35,25,10,100
계룡산,지역별,경북,55,39,16,100
계룡산,지역별,경남,65,45,20,100
계룡산,직업별,관리 / 사무직,89,62,27,100
계룡산,직업별,자영업 / 개인사업,190,128,62,100
계룡산,직업별,전문직,41,27,14,100
계룡산,직업별,교사 / 공무원,36,22,14,100
계룡산,직업별,서비스직 / 생산 및 판매직,249,202,47,100
계룡산,직업별,농업관련직,35,28,7,100
계룡산,직업별,주부,167,118,49,100
계룡산,직업별,기타,193,118,75,100
계룡산,학력별,초등학교 졸업,28,18,10,100
계룡산,학력별,중학교 졸업,103,82,21,100
계룡산,학력별,고등학교 졸업,410,300,110,100
계룡산,학력별,대학교 재학 중,71,41,30,100
계룡산,학력별,대학교 졸업,332,221,111,100
계룡산,학력별,대학원 이상,56,43,13,100
계룡산,소득별,100만원 미만,174,127,47,100
계룡산,소득별,100만원 이상 ~ 200만원 미만,281,200,81,100
계룡산,소득별,200만원 이상 ~ 300만원 미만,265,177,88,100
계룡산,소득별,300만원 이상 ~ 400만원 미만,189,117,72,100
계룡산,소득별,400만원 이상,91,84,7,100
내장산,성별,남성,489,380,109,100
내장산,성별,여성,511,426,85,100
내장산,연령별,20대,179,135,44,100
내장산,연령별,30대,212,167,45,100
내장산,연령별,40대,223,194,29,100
내장산,연령별,50대,179,143,36,100
내장산,연령별,60대 이상,207,167,40,100
내장산,지역별,서울,209,157,52,100
내장산,지역별,부산,74,60,14,100
내장산,지역별,대구,52,44,8,100
내장산,지역별,인천,58,41,17,100
내장산,지역별,광주,27,25,2,100
내장산,지역별,대전,31,25,6,100
내장산,지역별,울산,21,15,6,100
내장산,지역별,강원,30,22,8,100
내장산,지역별,경기,227,201,26,100
내장산,지역별,제주,11,5,6,100
내장산,지역별,충북,30,25,5,100
내장산,지역별,충남,40,34,6,100
내장산,지역별,전북,35,30,5,100
내장산,지역별,전남,35,27,8,100
내장산,지역별,경북,55,45,10,100
내장산,지역별,경남,65,50,15,100
내장산,직업별,관리 / 사무직,89,65,24,100
내장산,직업별,자영업 / 개인사업,190,158,32,100
내장산,직업별,전문직,41,26,15,100
내장산,직업별,교사 / 공무원,36,24,12,100
내장산,직업별,서비스직 / 생산 및 판매직,249,218,31,100
내장산,직업별,농업관련직,35,24,11,100
내장산,직업별,주부,167,135,32,100
내장산,직업별,기타,193,156,37,100
내장산,학력별,초등학교 졸업,28,18,10,100
내장산,학력별,중학교 졸업,103,89,14,100
내장산,학력별,고등학교 졸업,410,339,71,100
내장산,학력별,대학교 재학 중,71,55,16,100
내장산,학력별,대학교 졸업,332,265,67,100
내장산,학력별,대학원 이상,56,40,16,100
내장산,소득별,100만원 미만,174,144,40,100
내장산,소득별,100만원 이상 ~ 200만원 미만,281,222,49,100
내장산,소득별,200만원 이상 ~ 300만원 미만,265,189,76,100
내장산,소득별,300만원 이상 ~ 400만원 미만,189,179,10,100
내장산,소득별,400만원 이상,91,72,19,100
다도해해상,성별,남성,489,338,151,100
다도해해상,성별,여성,511,331,180,100
다도해해상,연령별,20대,179,138,41,100
다도해해상,연령별,30대,212,135,77,100
다도해해상,연령별,40대,223,170,53,100
다도해해상,연령별,50대,179,101,78,100
다도해해상,연령별,60대 이상,207,125,82,100
다도해해상,지역별,서울,209,135,74,100
다도해해상,지역별,부산,74,70,4,100
다도해해상,지역별,대구,52,40,12,100
다도해해상,지역별,인천,58,35,23,100
다도해해상,지역별,광주,27,19,8,100
다도해해상,지역별,대전,31,20,11,100
다도해해상,지역별,울산,21,17,4,100
다도해해상,지역별,강원,30,15,15,100
다도해해상,지역별,경기,227,152,75,100
다도해해상,지역별,제주,11,5,6,100
다도해해상,지역별,충북,30,20,10,100
다도해해상,지역별,충남,40,20,20,100
다도해해상,지역별,전북,35,19,16,100
다도해해상,지역별,전남,35,25,10,100
다도해해상,지역별,경북,55,37,18,100
다도해해상,지역별,경남,65,40,25,100
다도해해상,직업별,관리 / 사무직,89,72,17,100
다도해해상,직업별,자영업 / 개인사업,190,123,67,100
다도해해상,직업별,전문직,41,26,15,100
다도해해상,직업별,교사 / 공무원,36,26,10,100
다도해해상,직업별,서비스직 / 생산 및 판매직,249,183,66,100
다도해해상,직업별,농업관련직,35,26,9,100
다도해해상,직업별,주부,167,91,76,100
다도해해상,직업별,기타,193,122,71,100
다도해해상,학력별,초등학교 졸업,28,16,12,100
다도해해상,학력별,중학교 졸업,103,60,43,100
다도해해상,학력별,고등학교 졸업,410,295,115,100
다도해해상,학력별,대학교 재학 중,71,33,38,100
다도해해상,학력별,대학교 졸업,332,232,100,100
다도해해상,학력별,대학원 이상,56,33,23,100
다도해해상,소득별,100만원 미만,174,144,30,100
다도해해상,소득별,100만원 이상 ~ 200만원 미만,281,201,80,100
다도해해상,소득별,200만원 이상 ~ 300만원 미만,265,160,105,100
다도해해상,소득별,300만원 이상 ~ 400만원 미만,189,130,59,100
다도해해상,소득별,400만원 이상,91,34,57,100
덕유산,성별,남성,489,372,107,100
덕유산,성별,여성,511,334,187,100
덕유산,연령별,20대,179,130,49,100
덕유산,연령별,30대,212,135,77,100
덕유산,연령별,40대,223,161,62,100
덕유산,연령별,50대,179,135,44,100
덕유산,연령별,60대 이상,207,145,62,100
덕유산,지역별,서울,209,143,66,100
덕유산,지역별,부산,74,58,16,100
덕유산,지역별,대구,52,51,21,100
덕유산,지역별,인천,58,42,16,100
덕유산,지역별,광주,27,19,8,100
덕유산,지역별,대전,31,23,8,100
덕유산,지역별,울산,21,14,7,100
덕유산,지역별,강원,30,18,12,100
덕유산,지역별,경기,227,163,44,100
덕유산,지역별,제주,11,3,8,100
덕유산,지역별,충북,30,20,10,100
덕유산,지역별,충남,40,25,15,100
덕유산,지역별,전북,35,24,11,100
덕유산,지역별,전남,35,22,13,100
덕유산,지역별,경북,55,41,14,100
덕유산,지역별,경남,65,40,25,100
덕유산,직업별,관리 / 사무직,89,71,18,100
덕유산,직업별,자영업 / 개인사업,190,129,61,100
덕유산,직업별,전문직,41,25,16,100
덕유산,직업별,교사 / 공무원,36,22,14,100
덕유산,직업별,서비스직 / 생산 및 판매직,249,199,50,100
덕유산,직업별,농업관련직,35,22,13,100
덕유산,직업별,주부,167,114,53,100
덕유산,직업별,기타,193,124,69,100
덕유산,학력별,초등학교 졸업,28,19,9,100
덕유산,학력별,중학교 졸업,103,88,15,100
덕유산,학력별,고등학교 졸업,410,233,177,100
덕유산,학력별,대학교 재학 중,71,67,4,100
덕유산,학력별,대학교 졸업,332,262,70,100
덕유산,학력별,대학원 이상,56,37,19,100
덕유산,소득별,100만원 미만,174,134,40,100
덕유산,소득별,100만원 이상 ~ 200만원 미만,281,163,118,100
덕유산,소득별,200만원 이상 ~ 300만원 미만,265,209,56,100
덕유산,소득별,300만원 이상 ~ 400만원 미만,189,138,51,100
덕유산,소득별,400만원 이상,91,62,29,100
무등산,성별,남성,489,364,125,100
무등산,성별,여성,511,328,183,100
무등산,연령별,20대,179,115,64,100
무등산,연령별,30대,212,131,81,100
무등산,연령별,40대,223,164,59,100
무등산,연령별,50대,179,121,58,100
무등산,연령별,60대 이상,207,161,46,100
무등산,지역별,서울,209,158,51,100
무등산,지역별,부산,74,49,25,100
무등산,지역별,대구,52,29,23,100
무등산,지역별,인천,58,33,25,100
무등산,지역별,광주,27,25,2,100
무등산,지역별,대전,31,19,12,100
무등산,지역별,울산,21,11,10,100
무등산,지역별,강원,30,13,17,100
무등산,지역별,경기,227,181,46,100
무등산,지역별,제주,11,6,5,100
무등산,지역별,충북,30,20,10,100
무등산,지역별,충남,40,22,18,100
무등산,지역별,전북,35,28,7,100
무등산,지역별,전남,35,30,5,100
무등산,지역별,경북,55,32,23,100
무등산,지역별,경남,65,36,29,100
무등산,직업별,관리 / 사무직,89,68,21,100
무등산,직업별,자영업 / 개인사업,190,119,71,100
무등산,직업별,전문직,41,27,14,100
무등산,직업별,교사 / 공무원,36,29,7,100
무등산,직업별,서비스직 / 생산 및 판매직,249,193,56,100
무등산,직업별,농업관련직,35,22,13,100
무등산,직업별,주부,167,117,50,100
무등산,직업별,기타,193,117,76,100
무등산,학력별,초등학교 졸업,28,18,10,100
무등산,학력별,중학교 졸업,103,75,28,100
무등산,학력별,고등학교 졸업,410,250,160,100
무등산,학력별,대학교 재학 중,71,34,37,100
무등산,학력별,대학교 졸업,332,282,50,100
무등산,학력별,대학원 이상,56,33,23,100
무등산,소득별,100만원 미만,174,121,53,100
무등산,소득별,100만원 이상 ~ 200만원 미만,281,187,94,100
무등산,소득별,200만원 이상 ~ 300만원 미만,265,189,76,100
무등산,소득별,300만원 이상 ~ 400만원 미만,189,122,67,100
무등산,소득별,400만원 이상,91,73,18,100
변산반도,성별,남성,489,278,211,100
변산반도,성별,여성,511,312,199,100
변산반도,연령별,20대,179,113,66,100
변산반도,연령별,30대,212,112,100,100
변산반도,연령별,40대,223,125,98,100
변산반도,연령별,50대,179,100,79,100
변산반도,연령별,60대 이상,207,140,67,100
변산반도,지역별,서울,209,122,87,100
변산반도,지역별,부산,74,48,26,100
변산반도,지역별,대구,52,38,14,100
변산반도,지역별,인천,58,33,25,100
변산반도,지역별,광주,27,19,8,100
변산반도,지역별,대전,31,13,18,100
변산반도,지역별,울산,21,16,5,100
변산반도,지역별,강원,30,16,14,100
변산반도,지역별,경기,227,134,93,100
변산반도,지역별,제주,11,6,5,100
변산반도,지역별,충북,30,13,17,100
변산반도,지역별,충남,40,22,18,100
변산반도,지역별,전북,35,19,16,100
변산반도,지역별,전남,35,22,13,100
변산반도,지역별,경북,55,41,14,100
변산반도,지역별,경남,65,28,37,100
변산반도,직업별,관리 / 사무직,89,58,31,100
변산반도,직업별,자영업 / 개인사업,190,92,98,100
변산반도,직업별,전문직,41,23,18,100
변산반도,직업별,교사 / 공무원,36,25,11,100
변산반도,직업별,서비스직 / 생산 및 판매직,249,136,113,100
변산반도,직업별,농업관련직,35,18,17,100
변산반도,직업별,주부,167,123,44,100
변산반도,직업별,기타,193,115,78,100
변산반도,학력별,초등학교 졸업,28,15,13,100
변산반도,학력별,중학교 졸업,103,63,40,100
변산반도,학력별,고등학교 졸업,410,243,167,100
변산반도,학력별,대학교 재학 중,71,28,43,100
변산반도,학력별,대학교 졸업,332,219,113,100
변산반도,학력별,대학원 이상,56,22,34,100
변산반도,소득별,100만원 미만,174,98,76,100
변산반도,소득별,100만원 이상 ~ 200만원 미만,281,163,118,100
변산반도,소득별,200만원 이상 ~ 300만원 미만,265,156,109,100
변산반도,소득별,300만원 이상 ~ 400만원 미만,189,138,51,100
변산반도,소득별,400만원 이상,91,35,56,100
북한산,성별,남성,489,437,52,100
북한산,성별,여성,511,405,106,100
북한산,연령별,20대,179,144,35,100
북한산,연령별,30대,212,199,13,100
북한산,연령별,40대,223,202,21,100
북한산,연령별,50대,179,144,35,100
북한산,연령별,60대 이상,207,153,54,100
북한산,지역별,서울,209,187,22,100
북한산,지역별,부산,74,69,5,100
북한산,지역별,대구,52,38,14,100
북한산,지역별,인천,58,47,11,100
북한산,지역별,광주,27,19,8,100
북한산,지역별,대전,31,24,7,100
북한산,지역별,울산,21,18,3,100
북한산,지역별,강원,30,18,12,100
북한산,지역별,경기,227,220,7,100
북한산,지역별,제주,11,4,7,100
북한산,지역별,충북,30,21,9,100
북한산,지역별,충남,40,22,18,100
북한산,지역별,전북,35,26,9,100
북한산,지역별,전남,35,24,11,100
북한산,지역별,경북,55,49,6,100
북한산,지역별,경남,65,56,9,100
북한산,직업별,관리 / 사무직,89,78,11,100
북한산,직업별,자영업 / 개인사업,190,146,44,100
북한산,직업별,전문직,41,36,5,100
북한산,직업별,교사 / 공무원,36,29,7,100
북한산,직업별,서비스직 / 생산 및 판매직,249,227,22,100
북한산,직업별,농업관련직,35,23,12,100
북한산,직업별,주부,167,137,30,100
북한산,직업별,기타,193,166,27,100
북한산,학력별,초등학교 졸업,28,19,9,100
북한산,학력별,중학교 졸업,103,78,25,100
북한산,학력별,고등학교 졸업,410,397,13,100
북한산,학력별,대학교 재학 중,71,58,13,100
북한산,학력별,대학교 졸업,332,249,83,100
북한산,학력별,대학원 이상,56,41,15,100
북한산,소득별,100만원 미만,174,156,18,100
북한산,소득별,100만원 이상 ~ 200만원 미만,281,234,47,100
북한산,소득별,200만원 이상 ~ 300만원 미만,265,214,51,100
북한산,소득별,300만원 이상 ~ 400만원 미만,189,169,20,100
북한산,소득별,400만원 이상,91,69,22,100
설악산,성별,남성,489,479,10,100
설악산,성별,여성,511,489,22,100
설악산,연령별,20대,179,170,9,100
설악산,연령별,30대,212,203,9,100
설악산,연령별,40대,223,219,4,100
설악산,연령별,50대,179,176,3,100
설악산,연령별,60대 이상,207,200,7,100
설악산,지역별,서울,209,206,3,100
설악산,지역별,부산,74,72,2,100
설악산,지역별,대구,52,50,2,100
설악산,지역별,인천,58,56,2,100
설악산,지역별,광주,27,25,2,100
설악산,지역별,대전,31,31,0,100
설악산,지역별,울산,21,20,1,100
설악산,지역별,강원,30,28,2,100
설악산,지역별,경기,227,226,1,100
설악산,지역별,제주,11,8,3,100
설악산,지역별,충북,30,27,3,100
설악산,지역별,충남,40,38,2,100
설악산,지역별,전북,35,32,3,100
설악산,지역별,전남,35,32,3,100
설악산,지역별,경북,55,54,1,100
설악산,지역별,경남,65,63,2,100
설악산,직업별,관리 / 사무직,89,85,4,100
설악산,직업별,자영업 / 개인사업,190,185,5,100
설악산,직업별,전문직,41,37,4,100
설악산,직업별,교사 / 공무원,36,32,4,100
설악산,직업별,서비스직 / 생산 및 판매직,249,247,2,100
설악산,직업별,농업관련직,35,31,4,100
설악산,직업별,주부,167,162,5,100
설악산,직업별,기타,193,189,4,100
설악산,학력별,초등학교 졸업,28,23,5,100
설악산,학력별,중학교 졸업,103,101,2,100
설악산,학력별,고등학교 졸업,410,405,5,100
설악산,학력별,대학교 재학 중,71,66,5,100
설악산,학력별,대학교 졸업,332,325,7,100
설악산,학력별,대학원 이상,56,48,8,100
설악산,소득별,100만원 미만,174,170,4,100
설악산,소득별,100만원 이상 ~ 200만원 미만,281,275,6,100
설악산,소득별,200만원 이상 ~ 300만원 미만,265,260,5,100
설악산,소득별,300만원 이상 ~ 400만원 미만,189,185,4,100
설악산,소득별,400만원 이상,91,78,13,100
소백산,성별,남성,489,354,135,100
소백산,성별,여성,511,332,179,100
소백산,연령별,20대,179,129,50,100
소백산,연령별,30대,212,135,77,100
소백산,연령별,40대,223,165,58,100
소백산,연령별,50대,179,112,67,100
소백산,연령별,60대 이상,207,145,62,100
소백산,지역별,서울,209,141,68,100
소백산,지역별,부산,74,52,22,100
소백산,지역별,대구,52,32,20,100
소백산,지역별,인천,58,40,18,100
소백산,지역별,광주,27,18,9,100
소백산,지역별,대전,31,21,10,100
소백산,지역별,울산,21,14,7,100
소백산,지역별,강원,30,14,16,100
소백산,지역별,경기,227,168,59,100
소백산,지역별,제주,11,4,7,100
소백산,지역별,충북,30,21,9,100
소백산,지역별,충남,40,23,17,100
소백산,지역별,전북,35,21,14,100
소백산,지역별,전남,35,19,16,100
소백산,지역별,경북,55,50,5,100
소백산,지역별,경남,65,48,17,100
소백산,직업별,관리 / 사무직,89,72,17,100
소백산,직업별,자영업 / 개인사업,190,129,61,100
소백산,직업별,전문직,41,28,13,100
소백산,직업별,교사 / 공무원,36,22,14,100
소백산,직업별,서비스직 / 생산 및 판매직,249,145,104,100
소백산,직업별,농업관련직,35,16,19,100
소백산,직업별,주부,167,112,55,100
소백산,직업별,기타,193,162,31,100
소백산,학력별,초등학교 졸업,28,18,10,100
소백산,학력별,중학교 졸업,103,77,26,100
소백산,학력별,고등학교 졸업,410,273,137,100
소백산,학력별,대학교 재학 중,71,54,17,100
소백산,학력별,대학교 졸업,332,226,106,100
소백산,학력별,대학원 이상,56,38,18,100
소백산,소득별,100만원 미만,174,113,61,100
소백산,소득별,100만원 이상 ~ 200만원 미만,281,191,90,100
소백산,소득별,200만원 이상 ~ 300만원 미만,265,223,42,100
소백산,소득별,300만원 이상 ~ 400만원 미만,189,105,84,100
소백산,소득별,400만원 이상,91,54,37,100
속리산,성별,남성,489,372,117,100
속리산,성별,여성,511,469,42,100
속리산,연령별,20대,179,170,9,100
속리산,연령별,30대,212,190,22,100
속리산,연령별,40대,223,180,43,100
속리산,연령별,50대,179,155,24,100
속리산,연령별,60대 이상,207,146,61,100
속리산,지역별,서울,209,198,11,100
속리산,지역별,부산,74,62,12,100
속리산,지역별,대구,52,46,6,100
속리산,지역별,인천,58,51,7,100
속리산,지역별,광주,27,19,8,100
속리산,지역별,대전,31,22,9,100
속리산,지역별,울산,21,17,4,100
속리산,지역별,강원,30,20,10,100
속리산,지역별,경기,227,212,15,100
속리산,지역별,제주,11,5,6,100
속리산,지역별,충북,30,27,3,100
속리산,지역별,충남,40,32,8,100
속리산,지역별,전북,35,28,7,100
속리산,지역별,전남,35,22,13,100
속리산,지역별,경북,55,36,19,100
속리산,지역별,경남,65,44,21,100
속리산,직업별,관리 / 사무직,89,72,17,100
속리산,직업별,자영업 / 개인사업,190,176,14,100
속리산,직업별,전문직,41,33,8,100
속리산,직업별,교사 / 공무원,36,24,12,100
속리산,직업별,서비스직 / 생산 및 판매직,249,221,28,100
속리산,직업별,농업관련직,35,26,9,100
속리산,직업별,주부,167,130,37,100
속리산,직업별,기타,193,159,34,100
속리산,학력별,초등학교 졸업,28,19,9,100
속리산,학력별,중학교 졸업,103,88,15,100
속리산,학력별,고등학교 졸업,410,334,76,100
속리산,학력별,대학교 재학 중,71,48,23,100
속리산,학력별,대학교 졸업,332,323,9,100
속리산,학력별,대학원 이상,56,29,27,100
속리산,소득별,100만원 미만,174,141,33,100
속리산,소득별,100만원 이상 ~ 200만원 미만,281,246,35,100
속리산,소득별,200만원 이상 ~ 300만원 미만,265,213,52,100
속리산,소득별,300만원 이상 ~ 400만원 미만,189,163,26,100
속리산,소득별,400만원 이상,91,78,13,100
오대산,성별,남성,489,357,132,100
오대산,성별,여성,511,387,124,100
오대산,연령별,20대,179,146,33,100
오대산,연령별,30대,212,143,69,100
오대산,연령별,40대,223,173,50,100
오대산,연령별,50대,179,141,38,100
오대산,연령별,60대 이상,207,141,66,100
오대산,지역별,서울,209,175,34,100
오대산,지역별,부산,74,52,22,100
오대산,지역별,대구,52,33,19,100
오대산,지역별,인천,58,30,28,100
오대산,지역별,광주,27,17,10,100
오대산,지역별,대전,31,16,15,100
오대산,지역별,울산,21,16,5,100
오대산,지역별,강원,30,24,6,100
오대산,지역별,경기,227,184,43,100
오대산,지역별,제주,11,8,3,100
오대산,지역별,충북,30,21,9,100
오대산,지역별,충남,40,28,12,100
오대산,지역별,전북,35,24,11,100
오대산,지역별,전남,35,28,7,100
오대산,지역별,경북,55,41,14,100
오대산,지역별,경남,65,47,18,100
오대산,직업별,관리 / 사무직,89,72,17,100
오대산,직업별,자영업 / 개인사업,190,158,32,100
오대산,직업별,전문직,41,38,3,100
오대산,직업별,교사 / 공무원,36,28,8,100
오대산,직업별,서비스직 / 생산 및 판매직,249,166,83,100
오대산,직업별,농업관련직,35,22,13,100
오대산,직업별,주부,167,103,64,100
오대산,직업별,기타,193,157,36,100
오대산,학력별,초등학교 졸업,28,14,14,100
오대산,학력별,중학교 졸업,103,68,35,100
오대산,학력별,고등학교 졸업,410,362,48,100
오대산,학력별,대학교 재학 중,71,58,13,100
오대산,학력별,대학교 졸업,332,204,128,100
오대산,학력별,대학원 이상,56,38,18,100
오대산,소득별,100만원 미만,174,146,28,100
오대산,소득별,100만원 이상 ~ 200만원 미만,281,196,85,100
오대산,소득별,200만원 이상 ~ 300만원 미만,265,178,87,100
오대산,소득별,300만원 이상 ~ 400만원 미만,189,148,41,100
오대산,소득별,400만원 이상,91,76,15,100
월악산,성별,남성,489,288,201,100
월악산,성별,여성,511,295,216,100
월악산,연령별,20대,179,139,40,100
월악산,연령별,30대,212,97,115,100
월악산,연령별,40대,223,146,77,100
월악산,연령별,50대,179,79,100,100
월악산,연령별,60대 이상,207,122,85,100
월악산,지역별,서울,209,148,61,100
월악산,지역별,부산,74,41,33,100
월악산,지역별,대구,52,32,20,100
월악산,지역별,인천,58,25,33,100
월악산,지역별,광주,27,14,13,100
월악산,지역별,대전,31,16,15,100
월악산,지역별,울산,21,13,8,100
월악산,지역별,강원,30,11,19,100
월악산,지역별,경기,227,137,90,100
월악산,지역별,제주,11,4,7,100
월악산,지역별,충북,30,24,6,100
월악산,지역별,충남,40,21,19,100
월악산,지역별,전북,35,19,16,100
월악산,지역별,전남,35,17,18,100
월악산,지역별,경북,55,24,31,100
월악산,지역별,경남,65,37,28,100
월악산,직업별,관리 / 사무직,89,66,23,100
월악산,직업별,자영업 / 개인사업,190,117,73,100
월악산,직업별,전문직,41,31,10,100
월악산,직업별,교사 / 공무원,36,22,14,100
월악산,직업별,서비스직 / 생산 및 판매직,249,139,110,100
월악산,직업별,농업관련직,35,9,26,100
월악산,직업별,주부,167,71,96,100
월악산,직업별,기타,193,128,65,100
월악산,학력별,초등학교 졸업,28,8,20,100
월악산,학력별,중학교 졸업,103,70,33,100
월악산,학력별,고등학교 졸업,410,240,170,100
월악산,학력별,대학교 재학 중,71,46,25,100
월악산,학력별,대학교 졸업,332,183,149,100
월악산,학력별,대학원 이상,56,36,20,100
월악산,소득별,100만원 미만,174,111,63,100
월악산,소득별,100만원 이상 ~ 200만원 미만,281,170,111,100
월악산,소득별,200만원 이상 ~ 300만원 미만,265,120,145,100
월악산,소득별,300만원 이상 ~ 400만원 미만,189,101,88,100
월악산,소득별,400만원 이상,91,81,10,100
월출산,성별,남성,489,268,221,100
월출산,성별,여성,511,250,261,100
월출산,연령별,20대,179,124,55,100
월출산,연령별,30대,212,131,81,100
월출산,연령별,40대,223,100,123,100
월출산,연령별,50대,179,76,103,100
월출산,연령별,60대 이상,207,87,120,100
월출산,지역별,서울,209,143,66,100
월출산,지역별,부산,74,25,49,100
월출산,지역별,대구,52,24,28,100
월출산,지역별,인천,58,21,37,100
월출산,지역별,광주,27,11,16,100
월출산,지역별,대전,31,14,17,100
월출산,지역별,울산,21,11,10,100
월출산,지역별,강원,30,9,21,100
월출산,지역별,경기,227,127,100,100
월출산,지역별,제주,11,4,7,100
월출산,지역별,충북,30,20,10,100
월출산,지역별,충남,40,22,18,100
월출산,지역별,전북,35,11,24,100
월출산,지역별,전남,35,11,24,100
월출산,지역별,경북,55,31,24,100
월출산,지역별,경남,65,34,31,100
월출산,직업별,관리 / 사무직,89,54,35,100
월출산,직업별,자영업 / 개인사업,190,124,66,100
월출산,직업별,전문직,41,22,19,100
월출산,직업별,교사 / 공무원,36,19,17,100
월출산,직업별,서비스직 / 생산 및 판매직,249,162,87,100
월출산,직업별,농업관련직,35,12,23,100
월출산,직업별,주부,167,54,113,100
월출산,직업별,기타,193,71,122,100
월출산,학력별,초등학교 졸업,28,7,21,100
월출산,학력별,중학교 졸업,103,58,45,100
월출산,학력별,고등학교 졸업,410,239,171,100
월출산,학력별,대학교 재학 중,71,32,39,100
월출산,학력별,대학교 졸업,332,143,189,100
월출산,학력별,대학원 이상,56,39,17,100
월출산,소득별,100만원 미만,174,77,97,100
월출산,소득별,100만원 이상 ~ 200만원 미만,281,189,92,100
월출산,소득별,200만원 이상 ~ 300만원 미만,265,151,114,100
월출산,소득별,300만원 이상 ~ 400만원 미만,189,57,132,100
월출산,소득별,400만원 이상,91,44,47,100
주왕산,성별,남성,489,305,184,100
