No.,공원명,유형,제목,이용기간시작일,이용기간종료일,탐방시간,상태
104,내장산,자연생태,숲과 문화를 체험하는 내장산,2008-01-01 [화],2014-12-31 [수],"2시간(10:00~12:00, 14:00~16:00)",Y
105,내장산,역사문화,숨겨진 역사의 흔적을 따라서,2008-01-01 [화],2014-12-31 [수],"1시간(11:00~12:00, 15:00~16:00)",Y
106,내장산,자연생태,굴거리나무와 함께하는 경관해설,2008-01-01 [화],2014-12-31 [수],"1시간(11:00~12:00, 14:00~15:00)",Y
107,내장산,탐방안내,탐방안내소 해설 프로그램,2008-01-01 [화],2014-12-31 [수],1시간,Y
108,월출산,역사문화,"남도답사 1번지, 무위사!",2008-01-01 [화],2014-12-31 [수],1시간,Y
109,월출산,자연생태,도갑사를 지나 자연의 품으로!,2008-01-01 [화],2014-12-31 [수],1시간30분,Y
110,월출산,자연생태,월출산의 기암괴석을 찾아서!,2008-05-01 [목],2014-12-31 [수],5시간,Y
111,속리산,역사문화,2008_인증) 미륵신앙의 요람 법주사 체험하기,2008-01-01 [화],2014-08-31 [일],1시간,Y
112,내장산,탐방안내,내장산 여름밤 체험,2008-07-01 [화],2014-08-31 [일],2시간,Y
113,설악산,역사문화,신흥사 사찰이야기,2014-01-01 [수],2014-12-31 [수],1시간,N
114,월출산,자연생태,월출산의 바위와 달뜨는 천황봉,2008-01-01 [화],2014-12-31 [수],1시간 30분,Y
115,월출산,자연생태,"월출산의 명물, 구름다리!",2008-01-01 [화],2014-12-31 [수],3시간,Y
116,설악산,자연생태,[미래세대]어린이 생태학교,2008-01-01 [화],2014-12-31 [수],3시간,N
117,변산반도,탐방안내,찾아가는 국립공원 자연교실,2014-01-21 [화],2014-11-30 [일],1시간 30분,N
118,경주,탐방안내,남산 포석정 거점해설,2008-01-01 [화],2014-12-31 [수],30분,Y
119,내장산백암,자연생태,[백암]비자향 가득한 백양골 자연ㆍ문화해설 A,2014-02-05 [수],2014-12-31 [수],1시간,N
120,내장산백암,자연생태,[백암]맑은 계곡 남창골에서 듣는 자연이야기,2014-02-05 [수],2014-12-31 [수],1시간,N
121,내장산백암,역사문화,[백암]천년고찰 백양사 사찰문화,2014-02-05 [수],2014-12-31 [수],1시간,N
122,종복원기술원,자연생태,우리의 친구 반달가슴곰을 만나요!,2014-04-01 [화],2014-11-30 [일],1시간,Y
123,가야산,역사문화,The secret of creating Tripitaka Koreana,2014-01-01 [수],2014-12-31 [수],1시간,N
124,월악산,탐방안내,"거점해설(덕주,만수,하늘재,제비봉)",2008-04-30 [수],2014-01-31 [금],1시간30분,N
125,다도해해상,자연생태,[2011 환경부인증]갯돌소리 들리는 정도리 구계등,2008-01-01 [화],2014-12-31 [수],60~90분,Y
126,다도해해상,역사문화,(탐방프로그램)[2009 국립공원 인증]일출이 아름다운 향일암 역사문화해설A,2008-01-01 [화],2014-12-31 [수],60~90분,Y
127,다도해해상,자연생태,[거문도]쪽빛바다와 어우러진 거문도를 찾아서,2008-01-01 [화],2014-12-31 [수],60~90분,Y
128,내장산,탐방안내,내장산자연공작교실,2008-05-24 [토],2014-12-31 [수],30분,N
129,북한산도봉,자연생태,(도봉)숲에서 몸 튼튼! 마음 튼튼!,2014-01-01 [수],2014-12-31 [수],1시간 30분,N
130,변산반도,탐방안내,거점해설 프로그램(직소폭포),2014-01-21 [화],2014-11-30 [일],20분,Y
131,변산반도,탐방안내,거점해설 프로그램(채석강),2014-01-21 [화],2014-11-30 [일],20분,Y
132,경주,역사문화,국립공원 방과후학교,2008-01-01 [화],2014-12-31 [수],50분,Y
133,소백산북부,자연생태,비로봉거점해설프로그램,2008-07-01 [화],2012-12-31 [월],20분,N
134,월악산,일반,사회서비스)자연을 드립니다.,2009-01-01 [목],2014-12-31 [수],120분,N
135,내장산백암,역사문화,[백암]입암산성과 선조들의 나라사랑,2014-02-05 [수],2014-12-31 [수],1시간,N
136,태안해안,역사문화,염전 이야기,2012-03-28 [수],2014-09-30 [화],40분 내외,Y
137,설악산,역사문화,백담사와 만해 이야기,2014-01-01 [수],2014-12-31 [수],1시간,N
138,덕유산,자연생태,[2008인증]금강모치가 살고있는 무주구천동계곡 이야기,2008-01-01 [화],2014-12-31 [수],1시간 30분,Y
139,경주,미래세대,역사속 신라를 찾아서,2008-01-01 [화],2010-12-31 [금],960분,N
140,경주,역사문화,배우는 불국사! 느끼는 자연!,2008-01-01 [화],2014-12-31 [수],60분,Y
141,계룡산,기타(신),계룡산 주니어 레인저(미래세대),2008-09-16 [화],2014-12-31 [수],60분,Y
142,소백산북부,자연생태,국립공원 방과후학교 (노리뫼),2008-09-01 [월],2014-12-31 [수],180~240,N
143,가야산,탐방안내,남산제일봉에서 둘러보는 아름다움,2014-01-01 [수],2014-12-31 [수],30분,N
144,지리산,탐방안내,[산청] 지리산과 가까워지는 중산리탐방안내소,2008-10-01 [수],2014-12-31 [수],40분,Y
145,내장산백암,기획,[백암]국립공원 주니어레인저,2014-02-05 [수],2014-12-31 [수],2시간,N
146,경주,역사문화,신라 왕경을 찾아서,2008-01-01 [화],2014-12-31 [수],60분[1시간],Y
147,소백산,자연생태,마음의 휴식을 선물하는 Green Trail 여행,2009-01-01 [목],2016-01-31 [일],2시간,Y
148,지리산,기획,실버 세대와 더불어,2008-12-01 [월],2014-12-31 [수],1시간,Y
149,북한산,자연생태,숲에서 놀자,2009-01-01 [목],2014-10-31 [금],1시간,Y
150,월출산,기획,월출산과 함께하는 아름다운 동행(실버),2009-02-01 [일],2014-12-31 [수],1시간,Y
151,지리산북부,미래세대,모두가 하나되는 즐거운 자연교실A,2009-01-30 [금],2009-12-31 [목],2시간,N
152,한려해상,탐방안내,[환경교육] 반달이와 함께하는 희망 찾기,2009-01-01 [목],2014-12-31 [수],60분,Y
153,한려해상,역사문화,[자연해설] 보리암과 함께하는 역사문화여행,2009-03-01 [일],2014-12-31 [수],60분,Y
154,북한산,자연생태,자연과 함께 하는 실버교실,2008-01-01 [화],2014-10-31 [금],1시간,Y
155,북한산,자연생태,정릉 숲 속이야기,2008-01-01 [화],2014-10-31 [금],1시간,Y
156,한려해상동부,역사문화,동백섬으로 불리우는 지심도,2009-01-01 [목],2014-12-31 [수],120분,N
157,내장산,자연생태,국립공원방과후학교,2009-03-01 [일],2014-12-31 [수],1시간30분,Y
158,지리산남부,기타(신),지리산을 담아가세요!,2009-03-01 [일],2014-11-09 [일],20분,Y
159,지리산남부,자연생태,아름다운 노고단길을 걸어보아요,2014-01-22 [수],2014-11-30 [일],1시간,Y
160,지리산북부,자연생태,지리산 초록빛 자연학교,2009-04-01 [수],2014-01-31 [금],3시간,N
161,오대산,탐방안내,건강증진프로그램A,2009-05-23 [토],2014-01-31 [금],1시간,N
162,북한산,자연생태,물 속 친구들과의 만남,2009-06-01 [월],2014-09-30 [화],1시간,Y
163,내장산백암,기획,[백암]찾아가는 국립공원 교실,2014-02-05 [수],2014-12-31 [수],1시간,N
164,북한산,자연생태,행복 ÷ 자연놀이터,2008-01-01 [화],2014-10-31 [금],1시간,Y
165,치악산,탐방안내,지역주민과 함께하는 국립공원체험교실 A,2009-09-01 [화],2014-12-31 [수],1시간,N
166,계룡산,탐방안내,자연의 기쁨! 국립공원과 함께 해요!(A),2009-01-01 [목],2014-12-31 [수],90분,Y
167,지리산,탐방안내,소중한 지리산과 만나요,2009-10-01 [목],2014-12-31 [수],-,Y
168,종복원기술원,미래세대,국립공원 자유학기제,2014-04-01 [화],2014-12-31 [수],09:00 ~ 16:00,Y
169,북한산도봉,역사문화,(도봉)숲과 문화가 있어 아름다운 우이령길 이야기,2015-01-01 [목],2015-03-31 [화],1시간 30분,Y
170,변산반도,탐방안내,변산반도국립공원 꿈나무 자연교실,2014-01-21 [화],2014-12-31 [수],1시간 30분,Y
171,경주,자연생태,이야기가 있는 경주 남산 트레킹,2009-01-01 [목],2014-12-31 [수],60분[1시간],Y
172,다도해해상서부,일반,[서부]언제나 청춘-실버,2009-10-01 [목],2014-12-31 [수],1시간,Y
173,월출산,탐방안내,"氣충전,기암괴석을 한눈에!",2009-10-13 [화],2014-12-31 [수],60분,Y
174,다도해해상서부,기타(신),[서부]다도해길라잡이,2009-11-12 [목],2014-12-31 [수],30분,Y
175,종복원기술원,자연생태,생태전시관에서 만나는 사라져가는 야생동물,2014-01-01 [수],2014-12-31 [수],40분,Y
176,지리산,기획,국립공원 방과후학교,2010-01-01 [금],2014-12-31 [수],1시간,Y
177,한려해상동부,기타(구),녹색놀이즐기기(만들기체험부스),2010-02-01 [월],2014-12-31 [수],180분,Y
178,다도해해상,역사문화,[청산도] 서편제 가락따라 걷는 청산도,2010-03-04 [목],2014-12-31 [수],40~60분,Y
179,태안해안,탐방안내,시작해요! 태안해안국립공원 탐방!,2010-01-01 [금],2014-11-30 [일],30분이내,Y
180,지리산,기획,국립공원 어린이 숲학교,2010-03-01 [월],2014-12-31 [수],2시간 30분,Y
181,한려해상동부,자연생태,국립공원 숲학교,2010-03-01 [월],2014-12-31 [수],2시간,N
182,덕유산,탐방안내,[2010인증]두바퀴로 둘러보는 구천동계곡,2010-04-01 [목],2014-10-31 [금],1시간30분,Y
183,소백산,역사문화,천년고찰 희방사와 희방폭포,2010-04-27 [화],2014-12-31 [수],30분,Y
184,지리산북부,자연생태,숲속에 내몸을 던져라A,2014-03-01 [토],2014-12-31 [수],2시간,Y
185,내장산백암,탐방안내,백암산 비자향과 함께하는 자연속 건강찾기 체험프로그램,2010-05-01 [토],2010-12-31 [금],-,N
186,지리산북부,탐방안내,환경파수꾼 지렁이랑 놀자,2014-03-01 [토],2014-10-31 [금],30분,N
187,덕유산,자연생태,자연물을 이용한 만들기,2010-05-01 [토],2014-11-30 [일],30분,Y
188,다도해해상서부,자연생태,[서부]시목 한 바퀴,2010-05-01 [토],2014-12-31 [수],1~2시간,Y
189,소백산,자연생태,희방계곡과 함께하는 재미있는 환경교실,2010-06-01 [화],2016-01-31 [일],1시간30분,Y
190,내장산백암,기획,[백암]백양골 숲 속의 영화관,2014-02-05 [수],2014-12-31 [수],2시간,N
191,가야산,역사문화,나를 되돌아 보는 시간 백련암,2014-01-01 [수],2014-12-31 [수],60분,N
192,북한산도봉,자연생태,(도봉)엄마랑 아가랑 숲에서 교감나누기,2014-01-01 [수],2014-12-31 [수],1시간 30분,N
193,주왕산,역사문화,은빛고을 탐방로에서 만나보는 자연과 불교문화,2010-01-01 [금],2014-12-31 [수],60분,Y
194,다도해해상,자연생태,옥상녹화해설,2010-08-01 [일],2010-12-31 [금],30분,Y
195,소백산북부,역사문화,태양계관찰로와 함께하는 연화봉,2010-10-05 [화],2014-01-31 [금],1시간 30분,N
196,북한산도봉,미래세대,(도봉) 북한산국립공원 주니어레인저!!,2014-07-19 [토],2014-08-12 [화],4시간,N
197,북한산,자연생태,레인저와 함께 하는 북한산둘레길트레킹,2011-02-01 [화],2014-11-30 [일],1시간,Y
198,덕유산,자연생태,숲속놀이터!국립공원자연교실(국립공원 어린이 숲학교),2011-03-01 [화],2014-11-30 [일],1시간 30분,Y
199,다도해해상서부,역사문화,[서부]흑산도이야기,2011-03-01 [화],2014-12-31 [수],1~2시간,Y
200,다도해해상,탐방안내,[미래세대] 다도해 Green School,2011-03-29 [화],2014-11-30 [일],2시간,Y
201,월악산,역사문화,단양팔경 풍류즐기기,2011-04-01 [금],2014-12-31 [수],120분,N
202,다도해해상서부,자연생태,[서부]관매도 명품 곰솔숲 속으로,2011-04-01 [금],2014-12-31 [수],1~2시간,Y
203,지리산북부,탐방안내,"정령치, 바래봉 거점해설A",2014-02-01 [토],2014-02-01 [토],30분,N
204,북한산,자연생태,고지대 경관과 거점해설,2011-01-01 [토],2014-11-30 [일],1시간,Y
205,계룡산,역사문화,계룡산의 문화와 역사(A),2011-05-02 [월],2014-12-31 [수],60분,Y
206,다도해해상서부,자연생태,[서부]관매도이야기,2011-05-05 [목],2014-12-31 [수],2시간,Y
207,오대산,자연생태,2014_인증)구름도 머물고가는 운두령의 계방산,2014-01-01 [수],2014-11-30 [일],3시간,N
208,다도해해상,역사문화,[고흥] 8개의 그림자 지는 능가사에 얽힌 이야기,2011-07-01 [금],2014-12-31 [수],60분,Y
209,주왕산,탐방안내,이동탐방안내소,2011-07-16 [토],2014-12-31 [수],30분~1시간,N
210,종복원기술원,탐방안내,찾아가는 지역주민(2014),2014-01-01 [수],2014-12-31 [수],09:00~18:00,Y
211,가야산,자연생태,소리따라 숲길따라 떠나는 홍류동여행,2014-01-01 [수],2014-12-15 [월],30분,Y
212,소백산,자연생태,"버리고 채우는 나의 길, 소백산자락길!",2011-04-01 [금],2016-01-31 [일],1시간30분,Y
213,소백산북부,자연생태,찾아가는국립공원교실,2011-10-21 [금],2014-01-31 [금],-,N
214,소백산북부,자연생태,천동계곡숲속친구들A,2011-10-27 [목],2014-12-31 [수],2시간,Y
215,종복원기술원,미래세대,국립공원 방과 후 학교,2014-04-01 [화],2014-11-30 [일],1~2시간,Y
216,오대산,자연생태,월정지구와 소금강지구를 가르는 진고개,2012-01-01 [일],2012-12-31 [월],-,N
217,다도해해상,탐방안내,[국립공원 방과후 학교] 방과후학교 GreenSchool,2012-02-20 [월],2014-11-30 [일],60분~120분,Y
218,월출산,기획,국립공원 방과후학교,2012-01-01 [일],2014-12-31 [수],1시간 30분,Y
219,다도해해상서부,미래세대,[서부]국립공원 어린이 바다학교,2012-02-01 [수],2014-12-31 [수],1시간,Y
220,월출산,기획,국립공원 어린이 숲학교,2012-01-01 [일],2014-12-31 [수],1시간 30분,Y
221,월출산,역사문화,역사문화가 살아 숨쉬는 정약용 남도 유배길,2012-01-01 [일],2014-12-31 [수],1시간,Y
222,월출산,기획,청소년자원봉사단양성프로그램,2012-01-01 [일],2014-12-31 [수],2시간,Y
223,북한산도봉,자연생태,(도봉)국립공원 어린이 숲학교,2012-03-16 [금],2014-12-31 [수],1시간 30분,N
224,북한산,자연생태,국립공원 어린이 숲학교,2012-03-17 [토],2014-11-30 [일],1시간,Y
225,내장산백암,자연생태,[백암]국립공원 어린이 숲학교 (백양골다람쥐탐험대 숲유치원),2014-02-05 [수],2014-12-31 [수],1시간,N
226,주왕산,자연생태,국립공원 방과후학교,2012-04-01 [일],2014-12-31 [수],60분,N
227,계룡산,탐방안내,국립공원 방과후학교(미래세대),2012-03-28 [수],2014-12-31 [수],90분,Y
228,소백산,자연생태,숲학교,2012-04-01 [일],2016-01-31 [일],2시간,N
229,오대산,자연생태,2012_인증) 국립공원 어린이 숲학교,2012-01-01 [일],2014-01-31 [금],1시간~1시간30분,N
230,소백산,기타(신),방과후 학교,2012-04-01 [일],2016-01-31 [일],1시간,N
231,북한산,자연생태,국립공원 방과후학교,2012-04-05 [목],2014-11-30 [일],1시간,Y
232,태안해안,미래세대,국립공원 방과후학교,2012-04-07 [토],2014-11-30 [일],1시간 내외,Y
233,태안해안,미래세대,국립공원 어린이바다학교,2012-04-01 [일],2014-11-30 [일],1시간 내외,Y
234,다도해해상,기타(신),[국립공원 어린이 바다학교]다도해 바다유치원,2012-04-01 [일],2014-11-30 [일],약 1시간 내외,Y
235,한려해상,자연생태,"[국립공원 어린이바다학교] 자연감성 up, 행복한 바다유치원",2012-04-16 [월],2014-12-31 [수],60분,Y
236,오대산,탐방안내,기획) 찾아가는 탐방서비스,2013-12-31 [화],2014-12-31 [수],3시간 내외,N
237,내장산,자연생태,국립공원어린이숲학교,2012-04-04 [수],2014-12-31 [수],90분,Y
238,다도해해상,탐방안내,[미래세대]다도해해상 체험프로그램,2012-05-01 [화],2014-12-31 [수],30,Y
239,한려해상동부,기타(구),자연이 품은 섬 내도,2012-05-01 [화],2014-12-31 [수],60~100분,Y
240,주왕산,탐방안내,야한 소극장,2012-05-13 [일],2014-12-31 [수],1시간 이상,N
